societe,annee,type_rapport,url_fiche,page_liste
LABEL VIE S.A.,2025,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-rfa-2025,1
MANAGEM,2025,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfa-2025,2
ATTIJARIWAFA BANK,2025,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2025,2
Banque Centrale Populaire (BCP),2025,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2025,3
COSUMAR,2025,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfa-2025,4
CIMENTS DU MAROC,2025,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfa-2025,5
MAROC TELECOM,2025,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfa-2025,5
ATTIJARIWAFA BANK,2025,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfs-juin-2025,6
LABEL VIE S.A.,2025,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-rfs-juin-2025,8
MANAGEM,2025,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfs-juin-2025,9
COSUMAR,2025,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfs-juin-2025,10
CIMENTS DU MAROC,2025,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfs-juin-2025,10
Banque Centrale Populaire (BCP),2025,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfs-juin-2025,11
MAROC TELECOM,2025,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfs-juin-2025,11
LABEL VIE S.A.,2024,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-rfa-2024,12
MANAGEM,2024,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfa-2024,13
COSUMAR,2024,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfa-2024,15
Banque Centrale Populaire (BCP),2024,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2024,16
CIMENTS DU MAROC,2024,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfa-2024,16
ATTIJARIWAFA BANK,2024,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2024,17
MAROC TELECOM,2024,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfa-2024,17
CIMENTS DU MAROC,2024,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfs-juin-2024,19
Banque Centrale Populaire (BCP),2024,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfs-juin-2024,19
MANAGEM,2024,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfs-juin-2024,21
COSUMAR,2024,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfs-juin-2024,21
LABEL VIE S.A.,2024,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-rfs-juin-2024,22
ATTIJARIWAFA BANK,2024,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfs-juin-2024,23
MAROC TELECOM,2024,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfs-juin-2024,23
LABEL VIE S.A.,2023,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-rfa-2023,25
Banque Centrale Populaire (BCP),2023,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2023,26
ATTIJARIWAFA BANK,2023,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2023,26
MANAGEM,2023,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfa-2023,27
COSUMAR,2023,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfa-2023,28
CIMENTS DU MAROC,2023,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfa-2023,29
MAROC TELECOM,2023,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfa-2023,29
Banque Centrale Populaire (BCP),2023,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfs-juin-2023,30
ATTIJARIWAFA BANK,2023,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfs-juin-2023,32
CIMENTS DU MAROC,2023,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfs-juin-2023,33
MANAGEM,2023,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfs-juin-2023,33
COSUMAR,2023,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfs-juin-2023,34
LABEL VIE S.A.,2023,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-rfs-juin-2023,35
MAROC TELECOM,2023,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfs-juin-2023,36
MANAGEM,2022,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfa-2022,37
LABEL VIE S.A.,2022,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-rfa-2022,37
COSUMAR,2022,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfa-2022,38
CIMENTS DU MAROC,2022,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfa-2022,38
Banque Centrale Populaire (BCP),2022,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2022,38
ATTIJARIWAFA BANK,2022,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2022,41
MAROC TELECOM,2022,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfa-2022,42
COSUMAR,2022,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfs-juin-2022,45
CIMENTS DU MAROC,2022,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfs-juin-2022,46
MANAGEM,2022,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfs-juin-2022,46
ATTIJARIWAFA BANK,2022,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfs-juin-2022,47
Banque Centrale Populaire (BCP),2022,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfs-juin-2022,47
MAROC TELECOM,2022,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfs-juin-2022,48
MANAGEM,2021,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfa-2021,51
COSUMAR,2021,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfa-2021,51
Banque Centrale Populaire (BCP),2021,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2021,51
ATTIJARIWAFA BANK,2021,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2021,52
LABEL VIE S.A.,2021,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/label-vie-rfa-2021,52
CIMENTS DU MAROC,2021,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfa-2021,52
MAROC TELECOM,2021,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfa-2021,54
LABEL VIE S.A.,2021,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-rapport-financier-semestriel-2021,56
MANAGEM,2021,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfs-juin-2021,56
COSUMAR,2021,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rapport-financier-semestriel-2021,57
ATTIJARIWAFA BANK,2021,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfs-juin-2021,57
Banque Centrale Populaire (BCP),2021,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfs-juin-2021,58
CIMENTS DU MAROC,2021,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfs-juin-2021,58
MAROC TELECOM,2021,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfs-2021,60
CIMENTS DU MAROC,2020,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cimar-rfa-2020,60
LABEL VIE S.A.,2020,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/label-vie-sa-rfa-2020,61
MANAGEM,2020,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfa-2020,62
ATTIJARIWAFA BANK,2020,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2020,63
Banque Centrale Populaire (BCP),2020,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2020,63
COSUMAR,2020,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfa-2020,65
MAROC TELECOM,2020,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfa-2020,65
MAROC TELECOM,2020,Rapports consolidés 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfs-2020-0,67
MAROC TELECOM,2020,Rapports sociaux 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfs-2020,67
ATTIJARIWAFA BANK,2020,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwa-bank-rfs-juin-2020-0,70
ATTIJARIWAFA BANK,2020,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwa-bank-rfs-juin-2020,70
LABEL VIE S.A.,2020,Rapports sociaux 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/lablevie-rfs-juin-2020,70
MANAGEM,2020,Rapports sociaux 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfs-juin-2020,71
COSUMAR,2020,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfs-juin-2020,71
CIMENTS DU MAROC,2020,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfs-juin-2020,72
Banque Centrale Populaire (BCP),2020,Rapports consolidés 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfs-juin-2020-0,73
Banque Centrale Populaire (BCP),2020,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfs-juin-2020,73
Banque Centrale Populaire (BCP),2019,Rapports sociaux 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfs-2019,74
COSUMAR,2019,Rapports consolidés annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfa-2019-0,74
COSUMAR,2019,Rapports sociaux annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfa-2019,75
Banque Centrale Populaire (BCP),2019,Rapports consolidés annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2019-0,75
Banque Centrale Populaire (BCP),2019,Rapports sociaux annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2019,76
LABEL VIE S.A.,2019,Rapports sociaux annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-rfa-2019,77
Banque Centrale Populaire (BCP),2019,Rapports consolidés 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfs-2019-0,77
MAROC TELECOM,2019,Rapports consolidés annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfa-2019-0,78
MAROC TELECOM,2019,Rapports sociaux annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfa-2019,78
ATTIJARIWAFA BANK,2019,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2019,79
ATTIJARIWAFA BANK,2019,Rapports sociaux annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2019-0,79
CIMENTS DU MAROC,2019,Rapports sociaux annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfa-2019-1,80
CIMENTS DU MAROC,2019,Rapports consolidés annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfa-2019-0,80
MANAGEM,2019,Rapports sociaux annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfa-2019,81
MANAGEM,2019,Rapports consolidés annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-45,83
CIMENTS DU MAROC,2019,Rapports sociaux annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-31,84
MAROC TELECOM,2019,Rapports consolidés 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-28,84
ATTIJARIWAFA BANK,2019,Rapports consolidés annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-29,85
MAROC TELECOM,2019,Rapports sociaux 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-27,85
ATTIJARIWAFA BANK,2019,Rapports sociaux annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-28,85
ATTIJARIWAFA BANK,2019,Rapports sociaux annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-28,86
LABEL VIE S.A.,2019,Rapports consolidés annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-38,87
MANAGEM,2019,Rapports sociaux 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-43,89
COSUMAR,2019,Rapports consolidés 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-38,89
COSUMAR,2019,Rapports sociaux 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-37,89
MANAGEM,2019,Rapports consolidés 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-44,90
ATTIJARIWAFA BANK,2019,Rapports sociaux 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-24,92
Banque Centrale Populaire (BCP),2019,Rapports sociaux 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-32,92
Banque Centrale Populaire (BCP),2019,Rapports sociaux 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-32,93
LABEL VIE S.A.,2019,Rapports consolidés 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-37,93
CIMENTS DU MAROC,2019,Rapports consolidés 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-30,93
Banque Centrale Populaire (BCP),2019,Rapports sociaux 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-32,94
LABEL VIE S.A.,2019,Rapports consolidés 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-37,94
CIMENTS DU MAROC,2019,Rapports consolidés 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-30,94
CIMENTS DU MAROC,2019,Rapports sociaux 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-29,95
LABEL VIE S.A.,2018,Rapports consolidés annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-33,99
COSUMAR,2018,Rapports sociaux annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-35,99
LABEL VIE S.A.,2018,Rapports consolidés annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-33,100
