societe,annee,type_rapport,url_fiche,page_liste,url_pdf,nom_fichier,taille_annoncee
LABEL VIE S.A.,2025,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-rfa-2025,1,https://www.ammc.ma/sites/default/files/LabelVie_RFA_2025.pdf,LabelVie_RFA_2025.pdf,38.88 Mo
MANAGEM,2025,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfa-2025,2,https://www.ammc.ma/sites/default/files/Managem_RFA_2025.pdf,Managem_RFA_2025.pdf,21.27 Mo
ATTIJARIWAFA BANK,2025,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfa-2025,2,https://www.ammc.ma/sites/default/files/AWB_RFA_2025.pdf,AWB_RFA_2025.pdf,5.99 Mo
Banque Centrale Populaire (BCP),2025,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/bcp-rfa-2025,3,https://www.ammc.ma/sites/default/files/BCP_RFA_2025_compressed.pdf,BCP_RFA_2025_compressed.pdf,11.21 Mo
COSUMAR,2025,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/cosumar-rfa-2025,4,https://www.ammc.ma/sites/default/files/Cosumar_RFA_2025.pdf,Cosumar_RFA_2025.pdf,9.71 Mo
CIMENTS DU MAROC,2025,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/ciments-du-maroc-rfa-2025,5,https://www.ammc.ma/sites/default/files/Cimar_RFA_2025.pdf,Cimar_RFA_2025.pdf,15.45 Mo
MAROC TELECOM,2025,Rapports annuels,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/maroc-telecom-rfa-2025,5,https://www.ammc.ma/sites/default/files/Maroc_Telecom_RFA_2025.pdf,Maroc_Telecom_RFA_2025.pdf,4.48 Mo
ATTIJARIWAFA BANK,2025,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/attijariwafa-bank-rfs-juin-2025,6,https://www.ammc.ma/sites/default/files/AWB_S1_25_1.pdf,AWB_S1_25_1.pdf,6.82 Mo
LABEL VIE S.A.,2025,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/labelvie-rfs-juin-2025,8,https://www.ammc.ma/sites/default/files/LabelVie_RFS_S1_25.pdf,LabelVie_RFS_S1_25.pdf,3.21 Mo
MANAGEM,2025,Rapports 1er semestre,https://www.ammc.ma/fr/espace-emetteurs/etats-financiers/managem-rfs-juin-2025,9,https://www.ammc.ma/sites/default/files/Managem_RFS_S1_25.pdf,Managem_RFS_S1_25.pdf,7.6 Mo
