societe,secteur,type_comptes_resolu,annee,annee_cible,is_mad,chiffre_affaires,capitaux_propres,immobilisations_corporelles,resultat_avant_impot,resultat_net,is_cible_t_plus_1,variation_is_cible,scenario,decoupage_temporel
Brasseries du Maroc,Agroalimentaire,sociaux,2005,2006,108420659.0,1304332186.53,1641505932.82,496071110.45,353238721.98,244818062.98,110070423.0,1649764.0,Étendu pour prévision t+1,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2006,2007,110070423.0,1344774123.7,1622533895.89,483051578.46,331240471.07,221170048.07,123870503.0,13800080.0,Étendu pour prévision t+1,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2007,2008,123870503.0,1597689333.38,1670655008.99,480575238.43,426259706.1,302389203.1,125589227.0,1718724.0,Étendu pour prévision t+1,apprentissage
Lesieur cristal,Agroalimentaire,consolides,2007,2008,51637542.0,3858400000.0,276300000.0,677200000.0,178500000.0,124400000.0,61416511.0,9778969.0,Étendu pour prévision t+1,apprentissage
PROMOPHARM,Divers,sociaux,2007,2008,25241800.0,334204076.48,337820687.1,125610940.72,77977207.25,52735407.25,21982600.0,-3259200.0,Étendu pour prévision t+1,apprentissage
Risma,Divers,consolides,2007,2008,608000.0,1114504000.0,100490000.0,2205638000.0,76739000.0,28825000.0,1849000.0,1241000.0,Étendu pour prévision t+1,apprentissage
Samir,Pétrole et Gaz,consolides,2007,2008,172042772.5,31364098000.0,5889630000.0,8431617000.0,105250000.0,-1356554000.0,105250083.0,-66792689.5,Étendu pour prévision t+1,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2008,2009,125589227.0,1678950329.31,1761200188.69,509255565.17,484528501.7,358939274.7,110470392.0,-15118835.0,Étendu pour prévision t+1,apprentissage
PROMOPHARM,Divers,sociaux,2008,2009,21982600.0,352876915.31,370300820.37,127540946.93,89462733.27,67480133.27,22508000.0,525400.0,Étendu pour prévision t+1,apprentissage
Risma,Divers,consolides,2008,2009,1849000.0,937721000.0,1030155000.0,2076172000.0,81455000.0,48155000.0,1732320.0,-116680.0,Étendu pour prévision t+1,apprentissage
STOKVIS,Distributeurs,sociaux,2008,2009,13099809.0,1015924782.95,91951500.0,4717306.33,58794863.93,45695054.93,10987926.0,-2111883.0,Étendu pour prévision t+1,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2009,2010,110470392.0,1710946833.76,1329486701.33,523343671.12,447211576.64,336741184.64,120541922.0,10071530.0,Étendu pour prévision t+1,apprentissage
DELTA HOLDING S.A,Sociétés de portefeuille,sociaux,2009,2010,14232576.0,60733097.38,985472801.11,32133001.58,227495853.86,213263277.86,11234237.09,-2998338.91,Étendu pour prévision t+1,apprentissage
PROMOPHARM,Divers,sociaux,2009,2010,22508000.0,357017375.02,391008944.96,131385041.27,88216124.59,65708124.59,23577208.0,1069208.0,Étendu pour prévision t+1,apprentissage
STOKVIS,Distributeurs,sociaux,2009,2010,10987926.0,1015924782.95,271002836.27,11874381.77,62018093.04,51030167.04,4260069.0,-6727857.0,Étendu pour prévision t+1,apprentissage
Samir,Pétrole et Gaz,consolides,2009,2010,68008592.0,26951183000.0,4056627000.0,14254607000.0,302607000.0,145899000.0,93420639.0,25412047.0,Étendu pour prévision t+1,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2010,2011,120541922.0,1726993408.92,1314318403.96,509184803.91,435922141.63,315380219.63,132641917.0,12099995.0,Étendu pour prévision t+1,apprentissage
