societe,secteur,type_comptes_resolu,annee,annee_cible,is_mad,chiffre_affaires,capitaux_propres,immobilisations_corporelles,is_cible_t_plus_1,variation_is_cible,scenario,decoupage_temporel
Brasseries du Maroc,Agroalimentaire,sociaux,2005,2006,108420659.0,1304332186.53,1641505932.82,496071110.45,110070423.0,1649764.0,Structurel sans variables fiscales contemporaines,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2006,2007,110070423.0,1344774123.7,1622533895.89,483051578.46,123870503.0,13800080.0,Structurel sans variables fiscales contemporaines,apprentissage
Les grandes marques et conserveries chérifiennes,Agroalimentaire,sociaux,2006,2007,3813752.0,12068664.8,178044340.4,90956302.34,6980213.0,3166461.0,Structurel sans variables fiscales contemporaines,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2007,2008,123870503.0,1597689333.38,1670655008.99,480575238.43,125589227.0,1718724.0,Structurel sans variables fiscales contemporaines,apprentissage
Les grandes marques et conserveries chérifiennes,Agroalimentaire,sociaux,2007,2008,6980213.0,12068664.8,201826412.37,139374792.85,6980213.0,0.0,Structurel sans variables fiscales contemporaines,apprentissage
Lesieur cristal,Agroalimentaire,consolides,2007,2008,51637542.0,3858400000.0,276300000.0,677200000.0,61416511.0,9778969.0,Structurel sans variables fiscales contemporaines,apprentissage
PROMOPHARM,Divers,sociaux,2007,2008,25241800.0,334204076.48,337820687.1,125610940.72,21982600.0,-3259200.0,Structurel sans variables fiscales contemporaines,apprentissage
Risma,Divers,consolides,2007,2008,608000.0,1114504000.0,100490000.0,2205638000.0,1849000.0,1241000.0,Structurel sans variables fiscales contemporaines,apprentissage
Samir,Pétrole et Gaz,consolides,2007,2008,172042772.5,31364098000.0,5889630000.0,8431617000.0,105250083.0,-66792689.5,Structurel sans variables fiscales contemporaines,apprentissage
Auto hall,Distributeurs,consolides,2008,2009,141105650.0,3341405324.86,1579169865.6,232057383.8,65323840.0,-75781810.0,Structurel sans variables fiscales contemporaines,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2008,2009,125589227.0,1678950329.31,1761200188.69,509255565.17,110470392.0,-15118835.0,Structurel sans variables fiscales contemporaines,apprentissage
PROMOPHARM,Divers,sociaux,2008,2009,21982600.0,352876915.31,370300820.37,127540946.93,22508000.0,525400.0,Structurel sans variables fiscales contemporaines,apprentissage
Risma,Divers,consolides,2008,2009,1849000.0,937721000.0,1030155000.0,2076172000.0,1732320.0,-116680.0,Structurel sans variables fiscales contemporaines,apprentissage
STOKVIS,Distributeurs,sociaux,2008,2009,13099809.0,1015924782.95,91951500.0,4717306.33,10987926.0,-2111883.0,Structurel sans variables fiscales contemporaines,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2009,2010,110470392.0,1710946833.76,1329486701.33,523343671.12,120541922.0,10071530.0,Structurel sans variables fiscales contemporaines,apprentissage
DELTA HOLDING S.A,Sociétés de portefeuille,sociaux,2009,2010,14232576.0,60733097.38,985472801.11,32133001.58,11234237.09,-2998338.91,Structurel sans variables fiscales contemporaines,apprentissage
PROMOPHARM,Divers,sociaux,2009,2010,22508000.0,357017375.02,391008944.96,131385041.27,23577208.0,1069208.0,Structurel sans variables fiscales contemporaines,apprentissage
STOKVIS,Distributeurs,sociaux,2009,2010,10987926.0,1015924782.95,271002836.27,11874381.77,4260069.0,-6727857.0,Structurel sans variables fiscales contemporaines,apprentissage
Samir,Pétrole et Gaz,consolides,2009,2010,68008592.0,26951183000.0,4056627000.0,14254607000.0,93420639.0,25412047.0,Structurel sans variables fiscales contemporaines,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2010,2011,120541922.0,1726993408.92,1314318403.96,509184803.91,132641917.0,12099995.0,Structurel sans variables fiscales contemporaines,apprentissage
Holcim,Bâtiment et matériaux de construction,consolides,2010,2011,265399322.89,5353697000.0,6216238000.0,6811292000.0,265500646.51,101323.62000000477,Structurel sans variables fiscales contemporaines,apprentissage
PROMOPHARM,Divers,sociaux,2010,2011,23577208.0,375967174.6,411361688.39,127217595.45,30062355.0,6485147.0,Structurel sans variables fiscales contemporaines,apprentissage
Samir,Pétrole et Gaz,consolides,2010,2011,93420639.0,37030147000.0,4783666000.0,14706202000.0,124882740.0,31462101.0,Structurel sans variables fiscales contemporaines,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2011,2012,132641917.0,1830527007.12,1376544719.31,492405150.56,125093914.0,-7548003.0,Structurel sans variables fiscales contemporaines,apprentissage
Holcim,Bâtiment et matériaux de construction,consolides,2011,2012,265500646.51,5567171000.0,5094585000.0,6570618000.0,189069587.08,-76431059.42999998,Structurel sans variables fiscales contemporaines,apprentissage
Microdata,"Matériels, logiciels et services informatiques",sociaux,2011,2012,10096519.0,299758220.97,42000000.0,1219443.19,7505288.0,-2591231.0,Structurel sans variables fiscales contemporaines,apprentissage
PROMOPHARM,Divers,sociaux,2011,2012,30062355.0,414644365.15,435195294.76,129915906.28,29050098.0,-1012257.0,Structurel sans variables fiscales contemporaines,apprentissage
SCE,Chimie,sociaux,2011,2012,9388749.0,1526336.59,262013589.71,218155747.86,8171752.0,-1216997.0,Structurel sans variables fiscales contemporaines,apprentissage
Auto hall,Distributeurs,consolides,2012,2013,51701910.0,3306662534.6,1651663310.27,640575167.4,61532790.0,9830880.0,Structurel sans variables fiscales contemporaines,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2012,2013,125093914.0,1752106555.63,1397803581.47,448227327.15,111692073.0,-13401841.0,Structurel sans variables fiscales contemporaines,apprentissage
Holcim,Bâtiment et matériaux de construction,consolides,2012,2013,189069587.08,5043275000.0,4855947000.0,6344585000.0,215326295.61,26256708.53,Structurel sans variables fiscales contemporaines,apprentissage
Microdata,"Matériels, logiciels et services informatiques",sociaux,2012,2013,7505288.0,299758220.97,66013575.52,2175677.96,12839006.0,5333718.0,Structurel sans variables fiscales contemporaines,apprentissage
PROMOPHARM,Divers,sociaux,2012,2013,29050098.0,449584011.4,456151439.79,124993366.68,24855644.0,-4194454.0,Structurel sans variables fiscales contemporaines,apprentissage
