societe,secteur,annee,type_comptes_resolu,capitaux_propres,chiffre_affaires,dettes_financieres,ebit,ebitda,immobilisations_corporelles,impot_differe,resultat_avant_impot,resultat_financier,resultat_net,total_actif,total_dettes,tresorerie_equivalents,nombre_variables_prevalidees,societe_is,score_correspondance_nom,methode_correspondance_nom,is_mad,statut_perimetre_is,ecart_identite_fiscale,is_implicite_mad
AFMA,Assurances et courtage,2024,sociaux,78989000.0,239503000.0,15495000.0,87248000.0,,20159000.0,,87124000.0,6450000.0,65102000.0,866269000.0,787280000.0,5644000.0,11,AFMA,1.0,comparatif officiel du RFA 2025,22022000.0,vérifié_par_impôt_du_pdf,0.0,22022000.0
AFMA,Assurances et courtage,2025,sociaux,,,,,,,,83022000.0,,64430000.0,,,,2,AFMA,1.0,contrôle publication annuelle 2025,18592000.0,vérifié_par_impôt_du_pdf,0.0,18592000.0
AFRIC INDUSTRIES SA,Industrie,2024,sociaux,,43110000.0,,9586000.0,,,,12095000.0,5052000.0,9917000.0,,,,5,AFRIC INDUSTRIES SA,1.0,comparatif officiel du RFA 2025,2178000.0,vérifié_par_impôt_du_pdf,0.0,2178000.0
AFRIC INDUSTRIES SA,Industrie,2025,sociaux,,43952000.0,,11151000.0,,,,9908000.0,-210000.0,7530000.0,,,,5,AFRIC INDUSTRIES SA,1.0,contrôle RFA/publication 2025,2378000.0,vérifié_par_impôt_du_pdf,0.0,2378000.0
AGMA,Sociétés d'assurances,2019,sociaux,89800000.0,125100000.0,,60800000.0,,,,65900000.00000001,2800000.0,45800000.0,,,,6,AGMA-LAHLOU-TAZI,1.0,alias vérifié,21932547.0,vérifié_par_impôt_du_pdf,,
AGMA,Sociétés d'assurances,2020,sociaux,,141400000.0,,77500000.0,69600000.0,,,,,50200000.0,,,,4,AGMA-LAHLOU-TAZI,1.0,alias vérifié,22943453.43,vérifié_par_impôt_du_pdf,,
AGMA,Sociétés d'assurances,2021,sociaux,104800000.0,130600000.0,,70300000.0,,,,76229757.16,,52200000.0,,,,5,AGMA-LAHLOU-TAZI,1.0,alias vérifié,24081852.93,vérifié_par_rcai_moins_resultat_net,0.002163279136013031,24029757.16
AGMA,Sociétés d'assurances,2022,sociaux,128700000.0,160800000.0,,88600000.0,,,,91400000.0,6920000.0,,,,,5,AGMA-LAHLOU-TAZI,1.0,alias vérifié,26260725.75,provisoire_un_seul_type_disponible,,
AGMA,Sociétés d'assurances,2023,sociaux,115300000.0,152000000.0,,82000000.0,,,,81600000.0,3200000.0,55300000.0,,,,6,AGMA-LAHLOU-TAZI,1.0,alias vérifié,26955938.64,provisoire_un_seul_type_disponible,,
AGMA,Sociétés d'assurances,2024,sociaux,128700000.0,160800000.0,,88600000.0,,,,,6900000.0,64400000.00000001,,,,5,AGMA-LAHLOU-TAZI,1.0,alias vérifié,25200000.0,provisoire_un_seul_type_disponible,,
AGMA,Sociétés d'assurances,2025,sociaux,142600000.0,172200000.0,,91600000.0,95400000.0,,,94100000.0,7400000.0,68900000.0,,,,7,AGMA-LAHLOU-TAZI,1.0,alias vérifié,22700000.0,provisoire_un_seul_type_disponible,,
AKDITAL,Santé,2024,sociaux,2298712215.0,119755123.0,90489321.0,-1875703.0,,16339879.0,,209141951.0,188567764.0,205624402.0,3040436931.0,741724716.0,306278377.0,11,AKDITAL,1.0,comparatif officiel du RFA 2025,3517549.0,vérifié_par_impôt_du_pdf,0.0,3517549.0
AKDITAL,Santé,2025,sociaux,,,,,,,,370702249.0,,365024673.0,,,,2,AKDITAL,1.0,contrôle publication annuelle 2025,5677576.0,vérifié_par_impôt_du_pdf,0.0,5677576.0
ALLIANCES,Immobilier,2009,consolides,2492073000.0,,,,,200000000.0,81834000.0,,-92549000.0,,,,,4,ALLIANCES Développement Immobilier (ADI),1.0,alias vérifié,10942247.0,provisoire_un_seul_type_disponible,,
ALLIANCES,Immobilier,2011,consolides,,,,,,7474000.0,11376000.0,,-127324000.0,,7590356000.0,,,4,ALLIANCES Développement Immobilier (ADI),1.0,alias vérifié,7832504.0,provisoire_un_seul_type_disponible,,
ALLIANCES,Immobilier,2012,sociaux,,,,,,,,407048522.77,,387446152.38,,,,2,ALLIANCES Développement Immobilier (ADI),1.0,alias vérifié,19602370.39,vérifié_par_rcai_moins_resultat_net,7.60171392407184e-16,19602370.38999999
ALLIANCES,Immobilier,2013,sociaux,,,,,,,,,,282573801.85,,,,1,ALLIANCES Développement Immobilier (ADI),1.0,alias vérifié,4393941.0,vérifié_par_impôt_du_pdf,,
ALLIANCES,Immobilier,2014,sociaux,,,,,,,,,,294966212.71,,,,1,ALLIANCES Développement Immobilier (ADI),1.0,alias vérifié,2507598.0,vérifié_par_impôt_du_pdf,,
ALLIANCES,Immobilier,2018,consolides,2661876000.0,1564403000.0,,61583000.0,,23272000.0,,,,,7783991000.0,,75022000.0,6,ALLIANCES Développement Immobilier (ADI),1.0,alias vérifié,992379.0,provisoire_un_seul_type_disponible,,
ALLIANCES,Immobilier,2019,sociaux,1912254989.32,3279000000.0,,,,,,-3194483.19,,-0.77,13486707000.0,,,4,ALLIANCES Développement Immobilier (ADI),1.0,alias vérifié,1550984.0,vérifié_par_impôt_du_pdf,,
ALLIANCES,Immobilier,2020,sociaux,2134910020.39,91046000.0,,,,,,,,,,,,2,ALLIANCES Développement Immobilier (ADI),1.0,alias vérifié,986255.0,vérifié_par_impôt_du_pdf,,
ALLIANCES,Immobilier,2024,consolides,3746000.0,1414000000.0,5200.0,,,,,,,,,,,3,ALLIANCES Développement Immobilier (ADI),1.0,alias vérifié,44149000.0,vérifié_par_impôt_du_pdf,,
ALLIANCES,Immobilier,2025,consolides,3746000.0,1604000.0,5200.0,13241.0,,,,,,,,,,4,ALLIANCES Développement Immobilier (ADI),1.0,alias vérifié,69486000.0,vérifié_par_impôt_du_pdf,,
ARADEI Capital,Sociétés de placement immobilier,2024,sociaux,2681443537.26,199977503.15,1639061901.14,20722458.59,,681019027.54,,143814333.19,134213170.33,138041971.19,5063012758.0,2381569220.74,17540413.66,11,ARADEI Capital,1.0,comparatif officiel du RFA 2025,5772362.0,vérifié_par_impôt_du_pdf,0.0,5772362.0
ARADEI Capital,Sociétés immobilières,2025,sociaux,,,,,,,,89076420.2,,75589798.57,,,,2,ARADEI Capital,1.0,contrôle publication annuelle 2025,13486621.63,vérifié_par_impôt_du_pdf,-9.313225746154785e-09,13486621.63000001
Addoha,Immobilier,2007,sociaux,,,,,,,,,,50000000.0,,,,1,Douja PRO ADDOHA,1.0,alias vérifié,84842007.0,provisoire_un_seul_type_disponible,,
