societe,secteur,annee,type_comptes_resolu,capitaux_propres,chiffre_affaires,dettes_financieres,ebit,ebitda,immobilisations_corporelles,impot_differe,resultat_avant_impot,resultat_financier,resultat_net,total_actif,total_dettes,tresorerie_equivalents,nombre_variables_prevalidees,societe_is,score_correspondance_nom,methode_correspondance_nom,is_mad,statut_perimetre_is,ecart_identite_fiscale,is_implicite_mad,version_source,secteur_normalise,est_banque,qualite_perimetre,taille_log_actif,rentabilite_actif,ratio_capitaux_propres,ratio_dettes_financieres,marge_ebit,marge_nette,taux_effectif_observe,is_mad_retard_1,chiffre_affaires_retard_1,resultat_avant_impot_retard_1,resultat_net_retard_1,total_actif_retard_1,capitaux_propres_retard_1,croissance_chiffre_affaires,croissance_resultat_avant_impot,croissance_resultat_net,croissance_total_actif,croissance_capitaux_propres,chiffre_affaires_manquant,ebit_manquant,resultat_financier_manquant,resultat_avant_impot_manquant,resultat_net_manquant,total_actif_manquant,capitaux_propres_manquant,total_dettes_manquant,dettes_financieres_manquant,tresorerie_equivalents_manquant,ebitda_manquant,immobilisations_corporelles_manquant,impot_differe_manquant,split_temporel_t,is_cible_t_plus_1,qualite_cible_t_plus_1,annee_cible,split_temporel_cible,cible_disponible
AFMA,Assurances et courtage,2024,sociaux,78989000.0,239503000.0,15495000.0,87248000.0,,20159000.0,,87124000.0,6450000.0,65102000.0,866269000.0,787280000.0,5644000.0,11,AFMA,1.0,comparatif officiel du RFA 2025,22022000.0,vérifié_par_impôt_du_pdf,0.0,22022000.0,V26,assurances et courtage,False,haute,20.57970604300416,0.07515217559441698,0.09118299281170168,0.017887053559575605,0.36428771247124253,0.27182122979670403,0.25276617235204996,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1,test_final,18592000.0,haute,2025,test_final,True
AFRIC INDUSTRIES SA,Industrie,2024,sociaux,,43110000.0,,9586000.0,,,,12095000.0,5052000.0,9917000.0,,,,5,AFRIC INDUSTRIES SA,1.0,comparatif officiel du RFA 2025,2178000.0,vérifié_par_impôt_du_pdf,0.0,2178000.0,V26,industrie,False,haute,,,,,0.2223614010670378,0.23003943400603108,0.18007441091360066,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,test_final,2378000.0,haute,2025,test_final,True
AGMA,Sociétés d'assurances,2019,sociaux,89800000.0,125100000.0,,60800000.0,,,,65900000.00000001,2800000.0,45800000.0,,,,6,AGMA-LAHLOU-TAZI,1.0,alias vérifié,21932547.0,vérifié_par_impôt_du_pdf,,,V26,societes d assurances,False,haute,,,,,0.4860111910471623,0.36610711430855314,0.33281558421851287,,,,,,,,,,,,0,0,0,0,0,1,0,1,1,1,1,1,1,apprentissage,22943453.43,haute,2020,validation,True
AGMA,Sociétés d'assurances,2020,sociaux,,141400000.0,,77500000.0,69600000.0,,,,,50200000.0,,,,4,AGMA-LAHLOU-TAZI,1.0,alias vérifié,22943453.43,vérifié_par_impôt_du_pdf,,,V26,societes d assurances,False,haute,,,,,0.5480905233380481,0.355021216407355,,21932547.0,125100000.0,65900000.00000001,45800000.0,,89800000.0,0.13029576338928858,,0.09606986899563319,,,0,0,1,1,0,1,1,1,1,1,0,1,1,validation,24081852.93,haute,2021,validation,True
AGMA,Sociétés d'assurances,2021,sociaux,104800000.0,130600000.0,,70300000.0,,,,76229757.16,,52200000.0,,,,5,AGMA-LAHLOU-TAZI,1.0,alias vérifié,24081852.93,vérifié_par_rcai_moins_resultat_net,0.002163279136013031,24029757.16,V26,societes d assurances,False,haute,,,,,0.5382848392036753,0.3996937212863706,0.31591144753949785,22943453.43,141400000.0,,50200000.0,,,-0.07637906647807638,,0.0398406374501992,,,0,0,1,0,0,1,0,1,1,1,1,1,1,validation,26260725.75,provisoire,2022,validation,True
AGMA,Sociétés d'assurances,2022,sociaux,128700000.0,160800000.0,,88600000.0,,,,91400000.0,6920000.0,,,,,5,AGMA-LAHLOU-TAZI,1.0,alias vérifié,26260725.75,provisoire_un_seul_type_disponible,,,V26,societes d assurances,False,provisoire,,,,,0.5509950248756219,,0.2873164742888403,24081852.93,130600000.0,76229757.16,52200000.0,,104800000.0,0.23124042879019907,0.19900683676794234,,,0.22805343511450382,0,0,0,0,1,1,0,1,1,1,1,1,1,validation,26955938.64,provisoire,2023,test_final,True
AGMA,Sociétés d'assurances,2023,sociaux,115300000.0,152000000.0,,82000000.0,,,,81600000.0,3200000.0,55300000.0,,,,6,AGMA-LAHLOU-TAZI,1.0,alias vérifié,26955938.64,provisoire_un_seul_type_disponible,,,V26,societes d assurances,False,provisoire,,,,,0.5394736842105263,0.3638157894736842,0.33034238529411764,26260725.75,160800000.0,91400000.0,,,128700000.0,-0.05472636815920398,-0.10722100656455143,,,-0.10411810411810411,0,0,0,0,0,1,0,1,1,1,1,1,1,test_final,25200000.0,provisoire,2024,test_final,True
AGMA,Sociétés d'assurances,2024,sociaux,128700000.0,160800000.0,,88600000.0,,,,,6900000.0,64400000.00000001,,,,5,AGMA-LAHLOU-TAZI,1.0,alias vérifié,25200000.0,provisoire_un_seul_type_disponible,,,V26,societes d assurances,False,provisoire,,,,,0.5509950248756219,0.400497512437811,,26955938.64,152000000.0,81600000.0,55300000.0,,115300000.0,0.05789473684210526,,0.16455696202531658,,0.11621856027753687,0,0,0,1,0,1,0,1,1,1,1,1,1,test_final,22700000.0,provisoire,2025,test_final,True
AKDITAL,Santé,2024,sociaux,2298712215.0,119755123.0,90489321.0,-1875703.0,,16339879.0,,209141951.0,188567764.0,205624402.0,3040436931.0,741724716.0,306278377.0,11,AKDITAL,1.0,comparatif officiel du RFA 2025,3517549.0,vérifié_par_impôt_du_pdf,0.0,3517549.0,V26,sante,False,haute,21.835267069668294,0.06762988566000944,0.7560466693331321,0.02976194640887948,-0.01566282053753976,1.717040547818568,0.016818954701249774,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1,test_final,5677576.0,haute,2025,test_final,True
ALLIANCES,Immobilier,2024,consolides,3746000.0,1414000000.0,5200.0,,,,,,,,,,,3,ALLIANCES Développement Immobilier (ADI),1.0,alias vérifié,44149000.0,vérifié_par_impôt_du_pdf,,,V26,immobilier,False,haute,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,1,0,1,1,1,1,test_final,69486000.0,haute,2025,test_final,True
