societe,secteur,secteur_normalise,type_comptes_resolu,statut_perimetre_is,qualite_perimetre,annee_information,is_2025_mad,resultat_avant_impot,resultat_net,chiffre_affaires,total_actif,capitaux_propres,est_banque,version_source,annee_prevue,prediction_naive_2026_mad,variation_is_predite_mad,prediction_modele_2026_mad,groupe_intervalle,marge_empirique_90_mad,borne_basse_90_mad,borne_haute_90_mad,statut_prevision
Attijari wafa bank,Banques,banques,sociaux,vérifié_par_impôt_du_pdf,haute,2025,3889647000.0,11538939000.0,22226671000.0,,527424302000.0,56357157000.0,True,V16,2026,3889647000.0,197886893.202172,4087533893.202172,Banques,666815632.3737519,3420718260.8284197,4754349525.575924,Prévision exploratoire; à actualiser avec les comptes 2026
MarocTelecom,Télécommunications,telecommunications,sociaux,vérifié_par_impôt_du_pdf,haute,2025,2400505000.0,,,,,21247673000.0,False,V16,2026,2400505000.0,3698125.32878538,2404203125.3287854,Non-banques,52126746.45929065,2352076378.869495,2456329871.788076,Prévision exploratoire; à actualiser avec les comptes 2026
BCP,Banques,banques,sociaux,vérifié_par_impôt_du_pdf,haute,2025,2167546000.0,5450452000.0,3282906000.0,11076351000.0,372904872000.0,34486059000.0,True,V16,2026,2167546000.0,138875190.8660928,2306421190.8660927,Banques,666815632.3737519,1639605558.4923408,2973236823.2398443,Prévision exploratoire; à actualiser avec les comptes 2026
BMCE BANK,Banques,banques,sociaux,vérifié_par_impôt_du_pdf,haute,2025,1110694000.0,3281456000.0,1886195000.0,,297580604000.0,36436887000.0,True,V16,2026,1110694000.0,154314886.71814048,1265008886.7181406,Banques,666815632.3737519,598193254.3443887,1931824519.0918925,Prévision exploratoire; à actualiser avec les comptes 2026
Holcim,Bâtiment et matériaux de construction,batiment et materiaux de construction,consolides,vérifié_par_impôt_du_pdf,haute,2025,1155515000.0,3398533000.0,1826000000.0,8155000000.0,19994546000.0,12156299000.0,False,V16,2026,1155515000.0,2068196.7676223854,1157583196.7676225,Non-banques,52126746.45929065,1105456450.3083317,1209709943.2269132,Prévision exploratoire; à actualiser avec les comptes 2026
Crédit du Maroc,Banques,banques,consolides,vérifié_par_impôt_du_pdf,haute,2025,680270000.0,1350173000.0,886859000.0,,11954746000.0,2410234000.0,True,V16,2026,680270000.0,4885315.120827905,685155315.1208279,Banques,666815632.3737519,18339682.747076035,1351970947.4945798,Prévision exploratoire; à actualiser avec les comptes 2026
SGTM S.A,Bâtiment,batiment,sociaux,vérifié_par_impôt_du_pdf,haute,2025,655609313.03,1830926577.75,1175317264.72,,,,False,V16,2026,655609313.03,2993621.235256875,658602934.2652569,Non-banques,52126746.45929065,606476187.8059663,710729680.7245475,Prévision exploratoire; à actualiser avec les comptes 2026
CIH,Banques,banques,sociaux,vérifié_par_impôt_du_pdf,haute,2025,604583000.0,1523279000.0,,,,8833740000.0,True,V16,2026,604583000.0,3698125.32878538,608281125.3287854,Banques,666815632.3737519,0.0,1275096757.7025373,Prévision exploratoire; à actualiser avec les comptes 2026
SODEP-Marsa Maroc,Divers,divers,sociaux,vérifié_par_impôt_du_pdf,haute,2025,589221993.0,,,,,2793112625.99,False,V16,2026,589221993.0,2993621.235256875,592215614.2352569,Non-banques,52126746.45929065,540088867.7759663,644342360.6945475,Prévision exploratoire; à actualiser avec les comptes 2026
Ciments du Maroc,Bâtiment et matériaux de construction,batiment et materiaux de construction,sociaux,vérifié_par_impôt_du_pdf,haute,2025,551058585.0,,899492066.58,,,,False,V16,2026,551058585.0,2993621.235256875,554052206.2352569,Non-banques,52126746.45929065,501925459.7759663,606178952.6945475,Prévision exploratoire; à actualiser avec les comptes 2026
